Index,Conference,h5,h-median ,CCF,X,Y
1,[CVPR]IEEE Conference on Computer Vision and Pattern Recognition,422,681,A,CVPR,IEEE Conference on Computer Vision and Pattern Recognition
2,[ICLR]International Conference on Learning Representations,303,563,-,ICLR,International Conference on Learning Representations
3,[NeurIPS]Annual Conference on Neural Information Processing Systems,278,436,A,NeurIPS,Annual Conference on Neural Information Processing Systems
4,[ICML]International Conference on Machine Learning,254,463,A,ICML,International Conference on Machine Learning
5,[ECCV]European Conference on Computer Vision,238,390,B,ECCV,European Conference on Computer Vision
6,[ICCV]International Conference on Computer Vision,228,366,A,ICCV,International Conference on Computer Vision
7,[AAAI]AAAI Conference on Artificial Intelligence,212,344,A,AAAI,AAAI Conference on Artificial Intelligence
8,[EMNLP]Conference on Empirical Methods in Natural Language Processing,176,302,B,EMNLP,Conference on Empirical Methods in Natural Language Processing
9,[ACL]Annual Meeting of the Association for Computational Linguistics,169,304,A,ACL,Annual Meeting of the Association for Computational Linguistics
10,[IJCAI]International Joint Conference on Artificial Intelligence,133,197,A,IJCAI,International Joint Conference on Artificial Intelligence
11,[ICRA]IEEE International Conference on Robotics and Automation,119,183,B,ICRA,IEEE International Conference on Robotics and Automation
12,[SIGKDD]ACM Knowledge Discovery and Data Mining,114,196,A,SIGKDD,ACM Knowledge Discovery and Data Mining
13,"[ICASSP]IEEE International Conference on Acoustics, Speech and SP",110,171,B,ICASSP,"IEEE International Conference on Acoustics, Speech and SP"
14,[INTERSPEECH]INTERSPEECH,107,162,C,INTERSPEECH,INTERSPEECH
15,[WWW]International World Wide Web Conferences,106,169,A,WWW,International World Wide Web Conferences
16,[S&P]IEEE Symposium on Security and Privacy,98,152,A,S&P,IEEE Symposium on Security and Privacy
17,[USENIX Security]Usenix Security Symposium,92,153,A,USENIX Security,Usenix Security Symposium
18,[AISTATS]Artificial Intelligence and Statistics,91,148,C,AISTATS,Artificial Intelligence and Statistics
19,[ICSE]International Conference on Software Engineering,85,121,A,ICSE,International Conference on Software Engineering
20,[ACM MM]ACM International Conference on Multimedia,84,112,A,ACM MM,ACM International Conference on Multimedia
21,[INFOCOM]IEEE International Conference on Computer Communications,80,122,A,INFOCOM,IEEE International Conference on Computer Communications
22,[CIKM]ACM International Conference on Information and Knowledge Management,79,122,B,CIKM,ACM International Conference on Information and Knowledge Management
23,[VLDB]International Conference on Very Large Data Bases,79,104,A,VLDB,International Conference on Very Large Data Bases
24,[MICCAI]International Conference on Medical Image Computing and Computer-Assisted Intervention,78,124,B,MICCAI,International Conference on Medical Image Computing and Computer-Assisted Intervention
25,[IROS]IEEE\RSJ International Conference on Intelligent Robots and Systems,78,137,C,IROS,IEEE\RSJ International Conference on Intelligent Robots and Systems
26,[BMVC]British Machine Vision Conference,77,128,C,BMVC,British Machine Vision Conference
27,[ICC]IEEE International Conference on Communications,76,103,C,ICC,IEEE International Conference on Communications
28,[SIGIR]International Conference on Research on Development in Information Retrieval,75,115,A,SIGIR,International Conference on Research on Development in Information Retrieval
29,[WSDM]ACM International Conference on Web Search and Data Mining,75,129,B,WSDM,ACM International Conference on Web Search and Data Mining
30,[COLING]International Conference on Computational Linguistics,73,119,B,COLING,International Conference on Computational Linguistics
31,[NDSS]ISOC Network and Distributed System Security Symposium,72,146,A,NDSS,ISOC Network and Distributed System Security Symposium
32,[SIGMOD]ACM Conference on Management of Data,71,101,A,SIGMOD,ACM Conference on Management of Data
33,[ASPLOS]International Conference on Architectural Support for Programming Languages and Operating Systems,66,99,A,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems
34,[GLOBECOM]IEEE Global Communications Conference,63,91,C,GLOBECOM,IEEE Global Communications Conference
35,[STOC]ACM Symposium on the Theory of Computing,61,84,A,STOC,ACM Symposium on the Theory of Computing
36,[ICIP]International Conference on Image Processing,61,90,C,ICIP,International Conference on Image Processing
37,[ISCA]International Symposium on Computer Architecture,60,87,A,ISCA,International Symposium on Computer Architecture
38,[ACCV]Asian Conference on Computer Vision,60,92,C,ACCV,Asian Conference on Computer Vision
39,[IJCNN]International Joint Conference on Neural Networks,60,96,C,IJCNN,International Joint Conference on Neural Networks
40,[NSDI]Symposium on Network System Design and Implementation,60,111,A,NSDI,Symposium on Network System Design and Implementation
41,[DAC]Design Automation Conference,60,80,A,DAC,Design Automation Conference
42,[CRYPTO]International Cryptology Conference,59,96,A,CRYPTO,International Cryptology Conference
43,[USENIX ATC]USENIX Annual Technical Conference,59,110,A,USENIX ATC,USENIX Annual Technical Conference
44,[ICPR]International Conference on Pattern Recognition,58,84,C,ICPR,International Conference on Pattern Recognition
45,[MICRO]IEEE/ACM International Symposium on Microarchitecture,57,92,A,MICRO,IEEE/ACM International Symposium on Microarchitecture
46,[SODA]ACM-SIAM Symposium on Discrete Algorithms,57,80,A,SODA,ACM-SIAM Symposium on Discrete Algorithms
47,[ICDE]IEEE International Conference on Data Engineering,55,76,A,ICDE,IEEE International Conference on Data Engineering
48,[ICWSM]The International AAAI Conference on Web and Social Media,54,83,B,ICWSM,The International AAAI Conference on Web and Social Media
49,[HPCA]High Performance Computer Architecture,53,84,A,HPCA,High Performance Computer Architecture
50,IEEE International Conference on Big Data,53,94,C,IEEE International Conference on Big Data,IEEE International Conference on Big Data
51,[ICDM]International Conference on Data Mining,52,84,B,ICDM,International Conference on Data Mining
52,[FOCS]IEEE Annual Symposium on Foundations of Computer Science,52,78,A,FOCS,IEEE Annual Symposium on Foundations of Computer Science
53,[PLDI]ACM SIGPLAN Conference on Programming Language Design & Implementation,50,78,A,PLDI,ACM SIGPLAN Conference on Programming Language Design & Implementation
54,[FG]International Conference on Automatic Face and Gesture Recognition,50,91,C,FG,International Conference on Automatic Face and Gesture Recognition
