Index,Label,Year,Title,EE
1,cvpr,2021,Wasserstein Contrastive Representation Distillation,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Wasserstein_Contrastive_Representation_Distillation_CVPR_2021_paper.html
2,cvpr,2021,T-vMF Similarity for Regularizing Intra-Class Feature Distribution,https://openaccess.thecvf.com/content/CVPR2021/html/Kobayashi_T-vMF_Similarity_for_Regularizing_Intra-Class_Feature_Distribution_CVPR_2021_paper.html
3,cvpr,2021,Rotation Coordinate Descent for Fast Globally Optimal Rotation Averaging,https://openaccess.thecvf.com/content/CVPR2021/html/Parra_Rotation_Coordinate_Descent_for_Fast_Globally_Optimal_Rotation_Averaging_CVPR_2021_paper.html
4,cvpr,2021,Topological Planning With Transformers for Vision-and-Language Navigation,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Topological_Planning_With_Transformers_for_Vision-and-Language_Navigation_CVPR_2021_paper.html
5,cvpr,2021,Learning Dynamic Alignment via Meta-Filter for Few-Shot Learning,https://openaccess.thecvf.com/content/CVPR2021/html/Xu_Learning_Dynamic_Alignment_via_Meta-Filter_for_Few-Shot_Learning_CVPR_2021_paper.html
6,cvpr,2021,COMPLETER: Incomplete Multi-View Clustering via Contrastive Prediction,https://openaccess.thecvf.com/content/CVPR2021/html/Lin_COMPLETER_Incomplete_Multi-View_Clustering_via_Contrastive_Prediction_CVPR_2021_paper.html
7,cvpr,2021,FSDR: Frequency Space Domain Randomization for Domain Generalization,https://openaccess.thecvf.com/content/CVPR2021/html/Huang_FSDR_Frequency_Space_Domain_Randomization_for_Domain_Generalization_CVPR_2021_paper.html
8,cvpr,2021,Cross-View Regularization for Domain Adaptive Panoptic Segmentation,https://openaccess.thecvf.com/content/CVPR2021/html/Huang_Cross-View_Regularization_for_Domain_Adaptive_Panoptic_Segmentation_CVPR_2021_paper.html
9,cvpr,2021,Learning Probabilistic Ordinal Embeddings for Uncertainty-Aware Regression,https://openaccess.thecvf.com/content/CVPR2021/html/Li_Learning_Probabilistic_Ordinal_Embeddings_for_Uncertainty-Aware_Regression_CVPR_2021_paper.html
10,cvpr,2021,Towards Bridging Event Captioner and Sentence Localizer for Weakly Supervised Dense Event Captioning,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Towards_Bridging_Event_Captioner_and_Sentence_Localizer_for_Weakly_Supervised_CVPR_2021_paper.html
11,cvpr,2021,Leveraging Line-Point Consistence To Preserve Structures for Wide Parallax Image Stitching,https://openaccess.thecvf.com/content/CVPR2021/html/Jia_Leveraging_Line-Point_Consistence_To_Preserve_Structures_for_Wide_Parallax_Image_CVPR_2021_paper.html
12,cvpr,2021,DyStaB: Unsupervised Object Segmentation via Dynamic-Static Bootstrapping,https://openaccess.thecvf.com/content/CVPR2021/html/Yang_DyStaB_Unsupervised_Object_Segmentation_via_Dynamic-Static_Bootstrapping_CVPR_2021_paper.html
13,cvpr,2021,GDR-Net: Geometry-Guided Direct Regression Network for Monocular 6D Object Pose Estimation,https://openaccess.thecvf.com/content/CVPR2021/html/Wang_GDR-Net_Geometry-Guided_Direct_Regression_Network_for_Monocular_6D_Object_Pose_CVPR_2021_paper.html
14,cvpr,2021,Robust Audio-Visual Instance Discrimination,https://openaccess.thecvf.com/content/CVPR2021/html/Morgado_Robust_Audio-Visual_Instance_Discrimination_CVPR_2021_paper.html
15,cvpr,2021,Knowledge Evolution in Neural Networks,https://openaccess.thecvf.com/content/CVPR2021/html/Taha_Knowledge_Evolution_in_Neural_Networks_CVPR_2021_paper.html
